tipe,kategori,jenis,nilai
mobilitas_sarana_non_simpul,LAPOR,Pantauan Jalan Arteri ATCS,34
mobilitas_sarana_non_simpul,LAPOR,Pantauan Jalan Arteri ATMS,59
mobilitas_sarana_non_simpul,LAPOR,Gerbang Toll Jasa Marga,39
mobilitas_sarana_non_simpul,SARANA,Pantauan Jalan Arteri ATCS,1369409
mobilitas_sarana_non_simpul,SARANA,Pantauan Jalan Arteri ATMS,899056
mobilitas_sarana_non_simpul,SARANA,Gerbang Toll Jasa Marga,957613
angkutan_penumpang,PENUMPANG,Angkutan Jalan,115942
angkutan_penumpang,PENUMPANG,Angkutan Penyeberangan,86576
angkutan_penumpang,PENUMPANG,Angkutan Laut,76776
angkutan_penumpang,PENUMPANG,Angkutan Udara,3056
angkutan_penumpang,PENUMPANG,Angkutan Perkeretaapian,102779
angkutan_penumpang,SARANA,Angkutan Jalan,10059
angkutan_penumpang,SARANA,Angkutan Penyeberangan,919
angkutan_penumpang,SARANA,Angkutan Laut,1133
angkutan_penumpang,SARANA,Angkutan Udara,36
angkutan_penumpang,SARANA,Angkutan Perkeretaapian,374
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 2,8820
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 4 atau Lebih,17145
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 4,7807
angkutan_kendaraan_sdp,KENDARAAN-SDP,Bus,804
angkutan_kendaraan_sdp,KENDARAAN-SDP,Truk,8534
angkutan_kendaraan_sdp,SARANA,Trip,919
mobilitas_sarana,LAPOR,Angkutan Jalan,118
mobilitas_sarana,LAPOR,Jalan Arteri,93
mobilitas_sarana,LAPOR,Jalan Tol,39
mobilitas_sarana,LAPOR,Angkutan Penyeberangan,47
mobilitas_sarana,LAPOR,Angkutan Laut,212
mobilitas_sarana,LAPOR,Angkutan Udara,13
mobilitas_sarana,LAPOR,Angkutan Perkeretaapian,377
mobilitas_sarana,SARANA,Angkutan Jalan,10059
mobilitas_sarana,SARANA,Jalan Arteri,2268465
mobilitas_sarana,SARANA,Jalan Tol,957613
mobilitas_sarana,SARANA,Angkutan Penyeberangan,919
mobilitas_sarana,SARANA,Angkutan Laut,1133
mobilitas_sarana,SARANA,Angkutan Udara,36
mobilitas_sarana,SARANA,Angkutan Perkeretaapian,374
