id,metode,jenis,simpul_pantauan,jumlah_laporan,persentase
1,MANUAL,Terminal Tipe A,128,85,66.41
2,MANUAL,Terminal Tipe B,90,9,10.00
3,MANUAL,Terminal Tipe C,108,2,1.85
4,MANUAL,Pelabuhan Penyeberangan ASDP,0,0,0.00
5,MANUAL,Pelabuhan Penyeberangan NON ASDP,3,0,0.00
6,MANUAL,Pelabuhan Pembantu,0,0,0.00
7,API,Gerbang & Jalan Tol,43,39,90.70
8,API,Jalan Arteri,94,34,36.17
9,API,Pelabuhan Penyeberangan ASDP,46,23,50.00
10,API,Pelabuhan Penyeberangan NON ASDP,34,8,23.53
11,API,Angkutan Laut,264,132,50.00
12,API,Angkutan Udara,57,39,68.42
13,API,Perkeretaapian,453,361,79.69
