id,metode,jenis,simpul_pantauan,jumlah_laporan,persentase
1,MANUAL,Terminal Tipe A,128,249,194.53
2,MANUAL,Terminal Tipe B,90,30,33.33
3,MANUAL,Terminal Tipe C,108,6,5.56
4,MANUAL,Pelabuhan Penyeberangan ASDP,0,0,0.00
5,MANUAL,Pelabuhan Penyeberangan NON ASDP,3,2,66.67
6,MANUAL,Pelabuhan Pembantu,0,0,0.00
7,API,Gerbang & Jalan Tol,43,41,95.35
8,API,Jalan Arteri,94,90,95.74
9,API,Pelabuhan Penyeberangan ASDP,46,0,0.00
10,API,Pelabuhan Penyeberangan NON ASDP,34,3,8.82
11,API,Angkutan Laut,264,149,56.44
12,API,Angkutan Udara,57,51,89.47
13,API,Perkeretaapian,453,360,79.47
