tipe,kategori,jenis,nilai
mobilitas_sarana_non_simpul,LAPOR,Pantauan Jalan Arteri ATCS,34
mobilitas_sarana_non_simpul,LAPOR,Pantauan Jalan Arteri ATMS,59
mobilitas_sarana_non_simpul,LAPOR,Gerbang Toll Jasa Marga,39
mobilitas_sarana_non_simpul,SARANA,Pantauan Jalan Arteri ATCS,1137607
mobilitas_sarana_non_simpul,SARANA,Pantauan Jalan Arteri ATMS,899056
mobilitas_sarana_non_simpul,SARANA,Gerbang Toll Jasa Marga,823532
angkutan_penumpang,PENUMPANG,Angkutan Jalan,97303
angkutan_penumpang,PENUMPANG,Angkutan Penyeberangan,74210
angkutan_penumpang,PENUMPANG,Angkutan Laut,69623
angkutan_penumpang,PENUMPANG,Angkutan Udara,2892
angkutan_penumpang,PENUMPANG,Angkutan Perkeretaapian,100290
angkutan_penumpang,SARANA,Angkutan Jalan,8747
angkutan_penumpang,SARANA,Angkutan Penyeberangan,802
angkutan_penumpang,SARANA,Angkutan Laut,1095
angkutan_penumpang,SARANA,Angkutan Udara,33
angkutan_penumpang,SARANA,Angkutan Perkeretaapian,374
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 2,7506
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 4 atau Lebih,14951
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 4,6794
angkutan_kendaraan_sdp,KENDARAAN-SDP,Bus,673
angkutan_kendaraan_sdp,KENDARAAN-SDP,Truk,7484
angkutan_kendaraan_sdp,SARANA,Trip,802
mobilitas_sarana,LAPOR,Angkutan Jalan,114
mobilitas_sarana,LAPOR,Jalan Arteri,93
mobilitas_sarana,LAPOR,Jalan Tol,39
mobilitas_sarana,LAPOR,Angkutan Penyeberangan,42
mobilitas_sarana,LAPOR,Angkutan Laut,208
mobilitas_sarana,LAPOR,Angkutan Udara,12
mobilitas_sarana,LAPOR,Angkutan Perkeretaapian,377
mobilitas_sarana,SARANA,Angkutan Jalan,8747
mobilitas_sarana,SARANA,Jalan Arteri,2036663
mobilitas_sarana,SARANA,Jalan Tol,823532
mobilitas_sarana,SARANA,Angkutan Penyeberangan,802
mobilitas_sarana,SARANA,Angkutan Laut,1095
mobilitas_sarana,SARANA,Angkutan Udara,33
mobilitas_sarana,SARANA,Angkutan Perkeretaapian,374
