id,metode,jenis,simpul_pantauan,jumlah_laporan,persentase
1,MANUAL,Terminal Tipe A,128,237,185.16
2,MANUAL,Terminal Tipe B,90,30,33.33
3,MANUAL,Terminal Tipe C,108,3,2.78
4,MANUAL,Pelabuhan Penyeberangan ASDP,0,0,0.00
5,MANUAL,Pelabuhan Penyeberangan NON ASDP,3,1,33.33
6,MANUAL,Pelabuhan Pembantu,0,0,0.00
7,API,Gerbang & Jalan Tol,43,39,90.70
8,API,Jalan Arteri,94,90,95.74
9,API,Pelabuhan Penyeberangan ASDP,46,0,0.00
10,API,Pelabuhan Penyeberangan NON ASDP,34,2,5.88
11,API,Angkutan Laut,264,148,56.06
12,API,Angkutan Udara,57,50,87.72
13,API,Perkeretaapian,453,360,79.47
