tipe,kategori,jenis,nilai
mobilitas_sarana_non_simpul,LAPOR,Pantauan Jalan Arteri ATCS,34
mobilitas_sarana_non_simpul,LAPOR,Pantauan Jalan Arteri ATMS,59
mobilitas_sarana_non_simpul,LAPOR,Gerbang Toll Jasa Marga,39
mobilitas_sarana_non_simpul,SARANA,Pantauan Jalan Arteri ATCS,1032730
mobilitas_sarana_non_simpul,SARANA,Pantauan Jalan Arteri ATMS,899056
mobilitas_sarana_non_simpul,SARANA,Gerbang Toll Jasa Marga,757381
angkutan_penumpang,PENUMPANG,Angkutan Jalan,89604
angkutan_penumpang,PENUMPANG,Angkutan Penyeberangan,66601
angkutan_penumpang,PENUMPANG,Angkutan Laut,68669
angkutan_penumpang,PENUMPANG,Angkutan Udara,2892
angkutan_penumpang,PENUMPANG,Angkutan Perkeretaapian,97407
angkutan_penumpang,SARANA,Angkutan Jalan,8204
angkutan_penumpang,SARANA,Angkutan Penyeberangan,746
angkutan_penumpang,SARANA,Angkutan Laut,1084
angkutan_penumpang,SARANA,Angkutan Udara,33
angkutan_penumpang,SARANA,Angkutan Perkeretaapian,373
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 2,6546
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 4 atau Lebih,13728
angkutan_kendaraan_sdp,KENDARAAN-SDP,Roda 4,6169
angkutan_kendaraan_sdp,KENDARAAN-SDP,Bus,613
angkutan_kendaraan_sdp,KENDARAAN-SDP,Truk,6946
angkutan_kendaraan_sdp,SARANA,Trip,746
mobilitas_sarana,LAPOR,Angkutan Jalan,114
mobilitas_sarana,LAPOR,Jalan Arteri,93
mobilitas_sarana,LAPOR,Jalan Tol,39
mobilitas_sarana,LAPOR,Angkutan Penyeberangan,42
mobilitas_sarana,LAPOR,Angkutan Laut,207
mobilitas_sarana,LAPOR,Angkutan Udara,12
mobilitas_sarana,LAPOR,Angkutan Perkeretaapian,377
mobilitas_sarana,SARANA,Angkutan Jalan,8204
mobilitas_sarana,SARANA,Jalan Arteri,1931786
mobilitas_sarana,SARANA,Jalan Tol,757381
mobilitas_sarana,SARANA,Angkutan Penyeberangan,746
mobilitas_sarana,SARANA,Angkutan Laut,1084
mobilitas_sarana,SARANA,Angkutan Udara,33
mobilitas_sarana,SARANA,Angkutan Perkeretaapian,373
