id,metode,jenis,simpul_pantauan,jumlah_laporan,persentase
1,MANUAL,Terminal Tipe A,128,91,71.09
2,MANUAL,Terminal Tipe B,90,10,11.11
3,MANUAL,Terminal Tipe C,108,2,1.85
4,MANUAL,Pelabuhan Penyeberangan ASDP,0,0,0.00
5,MANUAL,Pelabuhan Penyeberangan NON ASDP,3,0,0.00
6,MANUAL,Pelabuhan Pembantu,0,0,0.00
7,API,Gerbang & Jalan Tol,43,40,93.02
8,API,Jalan Arteri,94,34,36.17
9,API,Pelabuhan Penyeberangan ASDP,46,23,50.00
10,API,Pelabuhan Penyeberangan NON ASDP,34,8,23.53
11,API,Angkutan Laut,264,138,52.27
12,API,Angkutan Udara,57,40,70.18
13,API,Perkeretaapian,453,361,79.69
